id_murid,nama,gaya_belajar,metode_belajar,preferensi_topik,available_start,available_end,is_flexible,whatsapp
M0036,Elisa  Hasanah,Visual,Online,Kalkulus 2,2025-09-27 21:39,2025-09-27 22:39,False,+62 (53) 819-2886
M0037,Pardi  Marpaung,Auditori,Online,Metode Statistik,2025-09-29 02:52,2025-09-29 05:52,False,+62 (581) 708-6119
M0038,Olivia  Iswahyudi,Kinestetik,Offline,Dasar Pemrograman,2025-07-09 15:01,2025-07-09 16:01,False,+62 (854) 799 1528
M0039,Marsudi  Astuti,Visual,Offline,Pengantar AI,2025-11-04 13:12,2025-11-04 14:12,False,+62 (0062) 447-3818
M0040,Emin  Mustofa,Auditori,Online,Aljabar Linier,2025-11-27 23:30,2025-11-28 00:30,True,(066) 895 6004
M0041,Lala  Tampubolon,Auditori,Offline,Logika Matematika,2025-10-10 21:13,2025-10-10 23:13,False,+62 (032) 570 3054
M0042,Aditya  Hariyah,Kinestetik,Online,Fisika Dasar,2025-11-19 20:54,2025-11-19 21:54,False,+62-788-641-2643
M0043,Ghaliyati  Uyainah,Visual,Online,Aljabar Linier,2025-12-16 23:47,2025-12-17 00:47,True,+62 (451) 041 8220
M0044,Yuliana  Prasetya,Visual,Online,Fisika Dasar,2025-10-11 12:59,2025-10-11 14:59,True,(0841) 634 9993
M0045,Maida  Pratama,Auditori,Online,Kalkulus 2,2025-07-19 23:13,2025-07-20 02:13,False,+62 (530) 021 9841
M0046,Prasetyo  Damanik,Auditori,Offline,Probabilitas & Statistika,2025-09-09 17:42,2025-09-09 19:42,True,+62 (017) 516 1044
M0047,Kartika  Hidayanto,Kinestetik,Offline,Struktur Data,2025-08-05 16:26,2025-08-05 17:26,False,+62 (42) 064 4969
M0048,Darimin  Pranowo,Visual,Online,Kalkulus 2,2025-08-02 16:06,2025-08-02 18:06,True,(018) 838 0709
M0049,Bakti  Riyanti,Kinestetik,Online,Basis Data,2025-10-27 03:40,2025-10-27 05:40,False,+62-0351-683-3582
M0050,Joko  Hidayat,Auditori,Online,Fisika Dasar,2025-12-23 04:53,2025-12-23 06:53,False,+62 (121) 623 2039
M0051,Prabawa  Iswahyudi,Kinestetik,Offline,Probabilitas & Statistika,2025-08-09 21:34,2025-08-09 22:34,False,(044) 452-8146
M0052,Najib  Nashiruddin,Kinestetik,Offline,Fisika Listrik,2025-08-03 13:37,2025-08-03 14:37,False,+62 (15) 804-7734
M0053,Queen  Sihombing,Kinestetik,Online,Fisika Listrik,2025-07-24 00:27,2025-07-24 01:27,False,(066) 945 4234
M0054,Rina  Pradana,Auditori,Offline,Fisika Dasar,2025-09-10 20:51,2025-09-10 23:51,True,+62-047-394-1959
M0055,Marwata  Saefullah,Auditori,Online,Matematika 2,2025-08-04 11:57,2025-08-04 14:57,False,(0320) 469 1993
M0056,Kemal  Usamah,Auditori,Offline,Metode Statistik,2025-07-11 06:28,2025-07-11 07:28,False,+62 (032) 813 2135
M0057,Eko  Lazuardi,Kinestetik,Offline,Metode Statistik,2025-11-24 03:36,2025-11-24 05:36,False,+62 (0694) 061 5538
M0058,Rendy  Adriansyah,Kinestetik,Offline,Aljabar Linier,2025-09-08 06:30,2025-09-08 09:30,False,+62-015-433-4135
M0059,Cahyanto  Siregar,Visual,Online,Kalkulus 2,2025-10-15 01:53,2025-10-15 03:53,True,+62-182-570-7537
M0060,Raihan  Prayoga,Auditori,Offline,Fisika Listrik,2025-07-17 00:49,2025-07-17 02:49,True,+62-35-857-3473
M0061,Karma  Januar,Kinestetik,Offline,Kimia Murni,2025-07-16 09:25,2025-07-16 11:25,False,+62 (506) 800-0357
M0062,Tania  Suryono,Visual,Offline,Probabilitas & Statistika,2025-10-30 16:22,2025-10-30 19:22,False,+62 (48) 495 9076
M0063,Saka  Hardiansyah,Auditori,Online,Struktur Data,2025-10-09 15:05,2025-10-09 18:05,True,084 585 9156
M0064,Emas  Padmasari,Auditori,Online,Logika Matematika,2025-12-17 01:00,2025-12-17 03:00,False,+62 (18) 005-1409
M0065,Karsana  Winarsih,Auditori,Offline,Matematika 2,2025-08-13 22:01,2025-08-14 01:01,False,+62 (050) 440-9163
M0066,Cagak  Siregar,Visual,Online,Probabilitas & Statistika,2025-07-11 22:05,2025-07-11 23:05,True,(0954) 575 6841
M0067,Niyaga  Januar,Auditori,Online,Matematika 2,2025-12-24 01:48,2025-12-24 03:48,True,0863369790
M0068,Hesti  Januar,Kinestetik,Offline,Pengantar AI,2025-10-04 03:09,2025-10-04 06:09,False,+62 (0360) 754-2164
M0069,Soleh  Yulianti,Kinestetik,Offline,Probabilitas & Statistika,2025-09-24 17:57,2025-09-24 18:57,False,+62 (0486) 543 9511
M0070,Kadir  Setiawan,Kinestetik,Online,Analisis Numerik,2025-10-14 00:50,2025-10-14 01:50,False,+62 (0393) 166-6791
M0071,Prasetya  Mardhiyah,Kinestetik,Online,Matematika 2,2025-11-05 06:46,2025-11-05 09:46,False,0847947249
M0072,Adikara  Farida,Visual,Online,Basis Data,2025-10-07 19:42,2025-10-07 21:42,False,+62 (312) 705-9478
M0073,Mujur  Saptono,Kinestetik,Offline,Fisika Magnet,2025-12-13 20:25,2025-12-13 23:25,False,080 216 7034
M0074,Estiawan  Rajasa,Visual,Online,Basis Data,2025-10-03 23:45,2025-10-04 00:45,False,+62 (198) 387 4084
M0075,Darmana  Prasetyo,Visual,Online,Metode Statistik,2025-10-20 12:51,2025-10-20 14:51,False,084 802 9492
M0076,Prabowo  Maryati,Visual,Online,Fisika Magnet,2025-07-01 21:11,2025-07-01 22:11,True,+62 (02) 070-8248
M0077,Iriana  Irawan,Visual,Offline,Logika Matematika,2025-08-13 09:40,2025-08-13 10:40,True,+62 (17) 606 5722
M0078,Edison  Hutagalung,Visual,Online,Fisika Dasar,2025-08-30 13:38,2025-08-30 15:38,False,+62 (027) 074-2697
M0079,Wira  Rahimah,Kinestetik,Offline,Dasar Pemrograman,2025-09-07 14:00,2025-09-07 17:00,False,(095) 684 0694
M0080,Raisa  Anggriawan,Auditori,Offline,Kalkulus 2,2025-11-29 06:58,2025-11-29 09:58,False,+62-0302-177-7001
M0081,Kenzie  Mahendra,Visual,Online,Analisis Numerik,2025-12-16 11:32,2025-12-16 12:32,False,+62 (71) 350 6398
M0082,Tri  Lestari,Visual,Offline,Kalkulus 2,2025-10-01 09:01,2025-10-01 12:01,False,+62-0757-296-7536
M0083,Lutfan  Marpaung,Auditori,Offline,Basis Data,2025-10-06 14:14,2025-10-06 17:14,False,+62-04-969-6091
M0084,Bakidin  Rahayu,Visual,Online,Dasar Pemrograman,2025-12-24 10:08,2025-12-24 13:08,False,+62-095-891-4917
M0085,Teddy  Prasetya,Kinestetik,Online,Analisis Numerik,2025-10-05 02:43,2025-10-05 05:43,True,+62-0320-173-8558
M0086,Edison  Hutapea,Auditori,Online,Kalkulus 2,2025-10-13 01:15,2025-10-13 04:15,False,+62 (014) 719-8372
M0087,Raihan  Thamrin,Auditori,Offline,Analisis Numerik,2025-12-23 15:14,2025-12-23 17:14,False,+62-92-409-7565
M0088,Ulva  Mandasari,Auditori,Offline,Aljabar Linier,2025-12-22 06:09,2025-12-22 09:09,False,+62 (156) 465-5287
M0089,Dasa  Hutapea,Auditori,Online,Analisis Numerik,2025-12-24 11:23,2025-12-24 14:23,True,+62-007-286-6604
M0090,Jatmiko  Yulianti,Visual,Online,Struktur Data,2025-08-24 15:45,2025-08-24 18:45,True,+62 (092) 057 1724
M0091,Tri  Prayoga,Visual,Offline,Fisika Magnet,2025-12-21 19:37,2025-12-21 20:37,True,(0065) 675 5737
M0092,Jatmiko  Novitasari,Visual,Offline,Fisika Dasar,2025-12-11 02:29,2025-12-11 04:29,False,(096) 120 1272
M0093,Surya  Anggraini,Visual,Offline,Metode Statistik,2025-11-05 15:18,2025-11-05 17:18,False,+62 (078) 994-0544
M0094,Dodo  Siregar,Visual,Online,Pengantar AI,2025-11-20 15:27,2025-11-20 16:27,False,083 771 9729
M0095,Arta  Marbun,Visual,Online,Probabilitas & Statistika,2025-10-18 18:29,2025-10-18 20:29,True,(074) 716-5590
M0096,Cakrawala  Kurniawan,Kinestetik,Online,Fisika Dasar,2025-09-24 23:31,2025-09-25 00:31,True,0815036290
M0097,Tugiman  Lazuardi,Visual,Online,Pengantar AI,2025-10-18 14:33,2025-10-18 15:33,False,(0965) 579 4570
M0098,Jais  Najmudin,Auditori,Offline,Aljabar Linier,2025-12-04 09:33,2025-12-04 11:33,False,+62 (71) 577 8344
M0099,Maryanto  Pradipta,Auditori,Online,Struktur Data,2025-11-15 23:44,2025-11-16 01:44,False,+62-556-154-0901
M0100,Ulya  Thamrin,Visual,Offline,Fisika Dasar,2025-12-10 14:55,2025-12-10 16:55,False,+62 (0648) 871 1068
M0101,Cager  Siregar,Visual,Offline,Probabilitas & Statistika,2025-07-19 11:16,2025-07-19 13:16,False,+62 (0764) 459 3233
M0102,Tirta  Pradana,Visual,Offline,Fisika Dasar,2025-12-08 07:48,2025-12-08 08:48,True,086 921 2462
M0103,Ega  Thamrin,Auditori,Offline,Fisika Magnet,2025-12-17 15:11,2025-12-17 18:11,False,+62 (07) 738 9746
M0104,Dodo  Gunawan,Kinestetik,Offline,Pengantar AI,2025-09-29 22:10,2025-09-30 01:10,True,+62 (78) 495-6388
M0105,Zaenab  Budiyanto,Kinestetik,Online,Kalkulus 2,2025-10-12 20:46,2025-10-12 23:46,False,+62-038-644-0828
M0106,Karta  Thamrin,Visual,Offline,Analisis Numerik,2025-11-15 11:41,2025-11-15 12:41,False,+62 (849) 949 5485
M0107,Fitria  Wibisono,Auditori,Offline,Analisis Numerik,2025-12-23 11:39,2025-12-23 14:39,False,+62-251-993-2163
M0108,Wardi  Thamrin,Kinestetik,Online,Logika Matematika,2025-07-12 10:53,2025-07-12 12:53,False,+62 (0437) 041-1134
M0109,Gabriella  Damanik,Auditori,Online,Probabilitas & Statistika,2025-08-27 19:10,2025-08-27 22:10,False,+62 (0648) 445 8720
M0110,Eko  Wijayanti,Visual,Offline,Kimia Murni,2025-07-25 20:09,2025-07-25 23:09,True,(0605) 073 3483
M0111,Jamal  Budiyanto,Visual,Online,Metode Statistik,2025-07-01 21:36,2025-07-01 22:36,False,+62 (94) 613 2063
M0112,Hadi  Hardiansyah,Auditori,Offline,Pengantar AI,2025-08-23 13:13,2025-08-23 16:13,False,+62 (074) 519 9047
M0113,Slamet  Budiman,Kinestetik,Online,Pengantar AI,2025-11-18 21:17,2025-11-19 00:17,False,(0595) 045-5672
M0114,Opan  Pradipta,Kinestetik,Offline,Kalkulus 2,2025-08-22 16:49,2025-08-22 18:49,True,+62 (346) 763 1866
M0115,Utama  Setiawan,Visual,Offline,Basis Data,2025-12-22 15:25,2025-12-22 16:25,True,(0341) 198-2778
M0116,Chelsea  Santoso,Kinestetik,Offline,Dasar Pemrograman,2025-10-30 15:02,2025-10-30 18:02,True,+62-007-029-3034
M0117,Artawan  Rajasa,Visual,Offline,Probabilitas & Statistika,2025-12-17 18:11,2025-12-17 20:11,False,(036) 249 8935
M0118,Tasnim  Hutapea,Kinestetik,Offline,Pengantar AI,2025-11-28 12:08,2025-11-28 13:08,True,(097) 840-5831
M0119,Rina  Ramadan,Visual,Online,Fisika Dasar,2025-09-04 09:50,2025-09-04 12:50,True,0842463302
M0120,Prakosa  Zulaika,Kinestetik,Online,Matematika 2,2025-09-28 17:28,2025-09-28 20:28,False,+62 (097) 670 7744
M0121,Daliman  Yulianti,Kinestetik,Offline,Aljabar Linier,2025-10-19 06:41,2025-10-19 08:41,True,+62 (026) 635-1178
M0122,Jagapati  Haryanto,Kinestetik,Offline,Fisika Dasar,2025-11-28 15:08,2025-11-28 16:08,False,086 016 7551
M0123,Tirtayasa  Iswahyudi,Auditori,Online,Fisika Listrik,2025-11-10 19:48,2025-11-10 21:48,False,+62-18-200-4505
M0124,Tantri  Hardiansyah,Auditori,Online,Metode Statistik,2025-09-22 20:41,2025-09-22 22:41,True,086 433 5225
M0125,Sarah  Wijaya,Auditori,Offline,Fisika Dasar,2025-10-02 02:37,2025-10-02 03:37,False,+62-0172-459-0611
M0126,Cornelia  Nuraini,Kinestetik,Online,Fisika Magnet,2025-12-25 07:24,2025-12-25 09:24,False,+62 (72) 762-8737
M0127,Belinda  Winarno,Visual,Offline,Logika Matematika,2025-12-13 16:03,2025-12-13 17:03,True,+62 (011) 393-1043
M0128,Taufik  Wacana,Kinestetik,Offline,Pengantar AI,2025-10-04 16:34,2025-10-04 19:34,True,0839189362
M0129,Mila  Simbolon,Kinestetik,Online,Fisika Magnet,2025-08-03 21:16,2025-08-03 23:16,False,+62 (007) 440-3477
M0130,Hasim  Santoso,Kinestetik,Offline,Probabilitas & Statistika,2025-12-21 14:48,2025-12-21 16:48,True,(0928) 767 1591
M0131,Elvina  Riyanti,Auditori,Online,Kimia Murni,2025-07-21 02:02,2025-07-21 05:02,False,(038) 828-1713
M0132,Cayadi  Sudiati,Kinestetik,Online,Pengantar AI,2025-11-26 17:53,2025-11-26 19:53,True,+62-0204-226-7537
M0133,Viktor  Suryono,Kinestetik,Online,Dasar Pemrograman,2025-12-03 01:31,2025-12-03 03:31,False,+62 (393) 741-5834
M0134,Vivi  Napitupulu,Auditori,Online,Struktur Data,2025-09-20 22:14,2025-09-21 01:14,False,+62 (857) 695 6976
M0135,Raina  Sudiati,Kinestetik,Offline,Basis Data,2025-12-28 18:24,2025-12-28 19:24,True,+62 (0417) 558 4741
M0136,Dadap  Latupono,Auditori,Offline,Metode Statistik,2025-09-02 09:39,2025-09-02 11:39,True,+62-001-277-7840
M0137,Ajimat  Wijayanti,Kinestetik,Online,Logika Matematika,2025-08-28 03:27,2025-08-28 05:27,False,+62 (0853) 006 4990
M0138,Taswir  Hutagalung,Visual,Offline,Basis Data,2025-08-06 04:28,2025-08-06 06:28,True,+62-156-230-1676
M0139,Ghaliyati  Jailani,Auditori,Offline,Fisika Magnet,2025-10-19 03:55,2025-10-19 06:55,False,+62 (0548) 266 4158
M0140,Saka  Permadi,Auditori,Online,Metode Statistik,2025-12-30 12:22,2025-12-30 14:22,False,(048) 183-4982
M0141,Zelaya  Hassanah,Auditori,Online,Logika Matematika,2025-12-29 04:15,2025-12-29 07:15,False,0887072962
M0142,Farhunnisa  Suryono,Kinestetik,Offline,Metode Statistik,2025-08-10 01:12,2025-08-10 04:12,False,084 680 8313
M0143,Almira  Palastri,Auditori,Offline,Matematika 2,2025-09-06 19:37,2025-09-06 20:37,False,+62 (396) 858-4669
M0144,Qori  Manullang,Auditori,Online,Basis Data,2025-08-21 14:47,2025-08-21 16:47,False,087 493 4272
M0145,Ellis  Sitorus,Kinestetik,Offline,Fisika Listrik,2025-12-06 01:34,2025-12-06 03:34,False,089 764 2091
M0146,Lembah  Rahayu,Auditori,Online,Fisika Magnet,2025-07-23 15:05,2025-07-23 18:05,False,+62 (702) 974 7797
M0147,Ganjaran  Laksita,Kinestetik,Offline,Kimia Murni,2025-08-13 18:18,2025-08-13 19:18,True,+62 (78) 780-4148
M0148,Tami  Sinaga,Kinestetik,Offline,Struktur Data,2025-07-19 14:31,2025-07-19 15:31,False,+62 (080) 548-9486
M0149,Vega  Marbun,Auditori,Offline,Pengantar AI,2025-08-04 10:50,2025-08-04 11:50,False,(0816) 692-1244
M0150,Devi  Hidayat,Visual,Online,Aljabar Linier,2025-08-09 07:44,2025-08-09 08:44,True,0895277584
M0151,Jamalia  Yuliarti,Visual,Offline,Fisika Dasar,2025-10-28 04:43,2025-10-28 05:43,True,087 515 2679
M0152,Adiarja  Waluyo,Kinestetik,Offline,Kalkulus 2,2025-07-17 05:18,2025-07-17 08:18,False,+62-036-964-3892
M0153,Talia  Suryono,Visual,Offline,Basis Data,2025-10-31 09:00,2025-10-31 11:00,False,+62 (0223) 162-0740
M0154,Hafshah  Putra,Auditori,Online,Metode Statistik,2025-07-28 12:26,2025-07-28 14:26,True,+62 (132) 838-7531
M0155,Yani  Suwarno,Kinestetik,Online,Fisika Dasar,2025-07-06 17:58,2025-07-06 19:58,False,(094) 771 4652
M0156,Kambali  Pratiwi,Kinestetik,Offline,Pengantar AI,2025-12-21 10:55,2025-12-21 12:55,False,(061) 352 9326
M0157,Damar  Utama,Kinestetik,Offline,Dasar Pemrograman,2025-10-17 04:29,2025-10-17 06:29,False,(0272) 668-4402
M0158,Gaduh  Irawan,Kinestetik,Online,Probabilitas & Statistika,2025-09-05 13:14,2025-09-05 16:14,False,+62 (078) 110 6368
M0159,Karsa  Mandala,Kinestetik,Online,Basis Data,2025-10-05 06:34,2025-10-05 08:34,True,+62 (230) 796-8831
M0160,Maras  Wastuti,Visual,Offline,Fisika Listrik,2025-11-30 23:32,2025-12-01 02:32,False,+62 (064) 785-2623
M0161,Lalita  Saptono,Visual,Offline,Logika Matematika,2025-10-03 01:24,2025-10-03 04:24,True,+62-073-204-1880
M0162,Heru  Situmorang,Kinestetik,Offline,Kalkulus 2,2025-10-25 22:30,2025-10-25 23:30,False,+62 (011) 056 0871
M0163,Laswi  Pratama,Kinestetik,Online,Metode Statistik,2025-12-09 21:12,2025-12-09 22:12,False,+62 (052) 652-3886
M0164,Irma  Hariyah,Auditori,Offline,Fisika Listrik,2025-07-14 19:27,2025-07-14 22:27,False,0845235974
M0165,Jefri  Santoso,Visual,Offline,Matematika 2,2025-11-13 10:19,2025-11-13 12:19,False,+62 (098) 220 7921
M0166,Kariman  Manullang,Kinestetik,Online,Fisika Listrik,2025-09-02 21:30,2025-09-02 22:30,False,+62-0525-047-0723
M0167,Irnanto  Nasyidah,Auditori,Online,Logika Matematika,2025-12-13 14:03,2025-12-13 16:03,True,+62-0800-857-5715
M0168,Galak  Usamah,Auditori,Offline,Pengantar AI,2025-11-02 17:44,2025-11-02 19:44,False,(0150) 920 4608
M0169,Tari  Rahayu,Auditori,Offline,Struktur Data,2025-12-20 16:57,2025-12-20 18:57,False,(060) 146-0736
M0170,Lurhur  Hardiansyah,Visual,Online,Struktur Data,2025-07-21 23:46,2025-07-22 00:46,True,+62 (04) 749-8986
M0171,Titi  Astuti,Auditori,Online,Struktur Data,2025-12-07 02:09,2025-12-07 03:09,True,(0881) 343-6837
M0172,Tirta  Mayasari,Auditori,Offline,Fisika Listrik,2025-12-11 03:24,2025-12-11 04:24,True,+62 (57) 915 4245
M0173,Garang  Marpaung,Kinestetik,Offline,Basis Data,2025-07-17 02:29,2025-07-17 03:29,False,+62-730-852-5274
M0174,Endra  Tamba,Auditori,Offline,Struktur Data,2025-10-29 03:23,2025-10-29 05:23,False,(0521) 176-5553
M0175,Ciaobella  Nurdiyanti,Kinestetik,Offline,Fisika Listrik,2025-11-15 16:34,2025-11-15 17:34,True,+62 (148) 322-2007
M0176,Patricia  Puspasari,Auditori,Online,Aljabar Linier,2025-08-04 01:48,2025-08-04 04:48,False,+62 (0417) 663 5860
M0177,Ana  Suryono,Auditori,Offline,Pengantar AI,2025-08-11 10:58,2025-08-11 12:58,False,+62 (0554) 478-4383
M0178,Oni  Firmansyah,Visual,Offline,Matematika 2,2025-08-07 14:30,2025-08-07 17:30,True,0845123249
M0179,Kamidin  Kusmawati,Auditori,Offline,Probabilitas & Statistika,2025-07-20 08:02,2025-07-20 10:02,False,+62 (87) 056 0104
M0180,Karna  Sitorus,Kinestetik,Offline,Fisika Magnet,2025-12-25 01:47,2025-12-25 03:47,True,+62-02-898-2312
M0181,Balijan  Widodo,Visual,Online,Kimia Murni,2025-12-02 15:00,2025-12-02 17:00,False,+62 (43) 506-6915
M0182,Rangga  Hassanah,Auditori,Online,Struktur Data,2025-09-14 21:47,2025-09-14 23:47,False,(020) 863 4935
M0183,Puji  Nasyidah,Kinestetik,Offline,Fisika Listrik,2025-11-03 10:42,2025-11-03 11:42,True,+62 (75) 578 0432
M0184,Emas  Tampubolon,Visual,Online,Basis Data,2025-07-30 01:49,2025-07-30 04:49,False,+62 (0042) 245-2217
M0185,Aris  Marpaung,Visual,Online,Fisika Listrik,2025-12-11 12:41,2025-12-11 15:41,False,+62-804-934-0800
M0186,Ratna  Pangestu,Kinestetik,Online,Fisika Dasar,2025-12-13 08:29,2025-12-13 09:29,True,+62-0688-632-2697
M0187,Irma  Maryati,Auditori,Offline,Fisika Dasar,2025-11-05 12:16,2025-11-05 14:16,False,0810754159
M0188,Pardi  Nashiruddin,Kinestetik,Offline,Kimia Murni,2025-08-12 11:02,2025-08-12 14:02,False,+62 (148) 514-5957
M0189,Dirja  Sirait,Auditori,Offline,Struktur Data,2025-09-09 17:48,2025-09-09 20:48,False,+62 (0861) 325-5618
M0190,Yani  Rahayu,Visual,Offline,Pengantar AI,2025-12-30 08:02,2025-12-30 11:02,False,(0272) 684-7427
M0191,Empluk  Prasetyo,Kinestetik,Offline,Logika Matematika,2025-10-05 07:39,2025-10-05 08:39,True,+62-069-327-3762
M0192,Gasti  Pradana,Visual,Offline,Fisika Magnet,2025-12-04 00:36,2025-12-04 02:36,False,+62 (398) 212 9376
M0193,Tantri  Prasetyo,Kinestetik,Offline,Probabilitas & Statistika,2025-09-23 23:06,2025-09-24 01:06,False,+62 (0297) 558 9595
M0194,Sari  Sihotang,Visual,Offline,Matematika 2,2025-07-05 10:48,2025-07-05 13:48,False,+62 (000) 649 6500
M0195,Lukita  Firgantoro,Kinestetik,Offline,Struktur Data,2025-12-26 19:56,2025-12-26 21:56,False,+62 (872) 355-6058
M0196,Najib  Mayasari,Visual,Online,Fisika Dasar,2025-09-20 14:28,2025-09-20 16:28,False,(0434) 603 6880
M0197,Eva  Laksita,Auditori,Online,Struktur Data,2025-07-11 17:20,2025-07-11 20:20,True,+62-069-453-0779
M0198,Argono  Adriansyah,Auditori,Offline,Logika Matematika,2025-10-18 00:55,2025-10-18 01:55,False,+62-074-616-1200
M0199,Galiono  Halim,Auditori,Online,Metode Statistik,2025-10-13 22:53,2025-10-13 23:53,True,+62-54-224-6188
M0200,Yani  Napitupulu,Kinestetik,Offline,Logika Matematika,2025-11-26 11:24,2025-11-26 13:24,False,+62-0880-033-7098
M0201,Drajat  Mustofa,Kinestetik,Offline,Analisis Numerik,2025-10-15 18:15,2025-10-15 21:15,False,(082) 020-8246
M0202,Winda  Rahmawati,Kinestetik,Online,Fisika Magnet,2025-12-07 09:26,2025-12-07 11:26,False,(010) 911-7002
M0203,Gangsar  Prasetyo,Kinestetik,Online,Metode Statistik,2025-07-20 22:31,2025-07-21 01:31,True,+62-230-810-1578
M0204,Martaka  Farida,Visual,Online,Analisis Numerik,2025-11-02 17:37,2025-11-02 18:37,False,+62-0035-825-2015
M0205,Waluyo  Maheswara,Auditori,Online,Kalkulus 2,2025-11-14 14:47,2025-11-14 16:47,False,+62-064-661-0385
M0206,Hani  Rahmawati,Visual,Offline,Metode Statistik,2025-10-03 00:52,2025-10-03 01:52,True,080 656 9867
M0207,Patricia  Maryadi,Visual,Offline,Metode Statistik,2025-07-22 23:28,2025-07-23 00:28,False,+62 (23) 711 9702
